station,date,latitude,longitude,elevation,name,actual_mean,temp_attributes,dewp,dewp_attributes,slp,slp_attributes,stp,stp_attributes,visib,visib_attributes,wdsp,wdsp_attributes,mxspd,gust,actual_high,max_attributes,actual_low,min_attributes,prcp,prcp_attributes,sndp,fog,rain,snow,hail,thunder,tornado,year,year_2,month,day,day_of_year,precip,actual_precip_ytd
72565003017,1995-02-07,39.84657,-104.65623,1647.2,"DENVER INTERNATIONAL AIRPORT, CO US",30.2,7,23.7,7,1021.3,7,999.9,0,10,7,6,7,8.9,999.9,32,*,23,NA,0,A,999.9,NA,NA,NA,NA,NA,NA,1995,1995,Feb,7,2000-02-07,0,0
72565003017,1995-02-28,39.84657,-104.65623,1647.2,"DENVER INTERNATIONAL AIRPORT, CO US",17.2,11,15.3,11,1027.3,11,999.9,0,5.3,11,7.6,11,14,999.9,37.9,*,12.9,NA,0,C,999.9,NA,NA,NA,NA,NA,NA,1995,1995,Feb,28,2000-02-28,0,0
72565003017,1995-03-01,39.84657,-104.65623,1647.2,"DENVER INTERNATIONAL AIRPORT, CO US",14.7,21,12,21,1027.3,21,837.8,21,3.9,21,4.7,21,7,999.9,24.1,NA,12.9,NA,0.01,G,2,NA,NA,NA,NA,NA,NA,1995,1995,Mar,1,2000-03-01,0.01,0.01
72565003017,1995-03-02,39.84657,-104.65623,1647.2,"DENVER INTERNATIONAL AIRPORT, CO US",14.7,24,11.2,24,1023.7,24,836.4,24,6.5,24,3.7,24,7,999.9,21.9,*,7,NA,0,G,0.8,NA,NA,NA,NA,NA,NA,1995,1995,Mar,2,2000-03-02,0,0.01
72565003017,1995-03-03,39.84657,-104.65623,1647.2,"DENVER INTERNATIONAL AIRPORT, CO US",29,24,20.9,24,1016.5,24,832.6,24,6.5,24,6.2,24,15.9,999.9,54,*,9,NA,0,D,999.9,NA,NA,NA,NA,NA,NA,1995,1995,Mar,3,2000-03-03,0,0.01
72565003017,1995-03-04,39.84657,-104.65623,1647.2,"DENVER INTERNATIONAL AIRPORT, CO US",41.2,24,25.7,24,1004.9,24,826.5,24,8.9,24,10,24,32.1,35.9,54,NA,16,NA,0,D,999.9,NA,NA,NA,NA,NA,NA,1995,1995,Mar,4,2000-03-04,0,0.01
72565003017,1995-03-05,39.84657,-104.65623,1647.2,"DENVER INTERNATIONAL AIRPORT, CO US",34.6,24,20.5,24,1007.3,24,828,24,8.2,24,9.5,24,24.1,29.9,55.9,NA,21,NA,0,D,999.9,NA,NA,NA,NA,NA,NA,1995,1995,Mar,5,2000-03-05,0,0.01
72565003017,1995-03-06,39.84657,-104.65623,1647.2,"DENVER INTERNATIONAL AIRPORT, CO US",28.9,24,24.3,24,1007.4,24,825.8,24,4.7,24,8.4,24,15.9,999.9,52,NA,18,NA,0.16,D,0.8,NA,NA,NA,NA,NA,NA,1995,1995,Mar,6,2000-03-06,0.16,0.17
72565003017,1995-03-07,39.84657,-104.65623,1647.2,"DENVER INTERNATIONAL AIRPORT, CO US",18.5,24,12.6,24,1023.4,24,836.9,24,9.9,24,6.9,24,15,999.9,36,*,3,NA,0,D,2,NA,NA,NA,NA,NA,NA,1995,1995,Mar,7,2000-03-07,0,0.17
72565003017,1995-03-08,39.84657,-104.65623,1647.2,"DENVER INTERNATIONAL AIRPORT, CO US",33,24,16.6,24,1021.5,24,838,24,9.8,24,9.7,24,18.1,999.9,51.1,*,23,*,0,D,999.9,NA,NA,NA,NA,NA,NA,1995,1995,Mar,8,2000-03-08,0,0.17
72565003017,1995-03-09,39.84657,-104.65623,1647.2,"DENVER INTERNATIONAL AIRPORT, CO US",46.4,24,16.8,24,1013.7,24,834.5,24,9.9,24,10.4,24,15,999.9,66,*,37,*,0,D,999.9,NA,NA,NA,NA,NA,NA,1995,1995,Mar,9,2000-03-09,0,0.17
72565003017,1995-03-10,39.84657,-104.65623,1647.2,"DENVER INTERNATIONAL AIRPORT, CO US",54,24,22.8,24,1008.1,24,831.7,24,9.9,24,9.6,24,14,999.9,70,*,36,NA,0,D,999.9,NA,NA,NA,NA,NA,NA,1995,1995,Mar,10,2000-03-10,0,0.17
72565003017,1995-03-11,39.84657,-104.65623,1647.2,"DENVER INTERNATIONAL AIRPORT, CO US",57.3,24,27.3,24,1004.4,24,829.4,24,9.9,24,12.3,24,17.1,999.9,72,NA,42.1,NA,0,D,999.9,NA,NA,NA,NA,NA,NA,1995,1995,Mar,11,2000-03-11,0,0.17
72565003017,1995-03-12,39.84657,-104.65623,1647.2,"DENVER INTERNATIONAL AIRPORT, CO US",53.7,24,23.4,24,996.1,24,822.5,24,9.7,24,13.4,24,25.1,30.9,75,NA,41,NA,0,D,999.9,NA,NA,NA,NA,NA,NA,1995,1995,Mar,12,2000-03-12,0,0.17
72565003017,1995-03-13,39.84657,-104.65623,1647.2,"DENVER INTERNATIONAL AIRPORT, CO US",46.4,24,17.5,24,1013.9,24,835.4,24,9.9,24,5.7,24,13,25.8,59,NA,32,NA,0,C,999.9,NA,NA,NA,NA,NA,NA,1995,1995,Mar,13,2000-03-13,0,0.17
72565003017,1995-03-14,39.84657,-104.65623,1647.2,"DENVER INTERNATIONAL AIRPORT, CO US",45.7,24,21.8,24,1022.8,24,842.6,24,9.9,24,6.9,24,12,16.9,60.1,*,30,NA,0,D,999.9,NA,NA,NA,NA,NA,NA,1995,1995,Mar,14,2000-03-14,0,0.17
72565003017,1995-03-15,39.84657,-104.65623,1647.2,"DENVER INTERNATIONAL AIRPORT, CO US",49.2,24,25.3,24,1020.8,24,841.1,24,9.9,24,9.8,24,14,15,70,*,30,NA,0,D,999.9,NA,NA,NA,NA,NA,NA,1995,1995,Mar,15,2000-03-15,0,0.17
72565003017,1995-03-16,39.84657,-104.65623,1647.2,"DENVER INTERNATIONAL AIRPORT, CO US",52.4,24,27.1,24,1015.2,24,837.6,24,9.9,24,10,24,18.1,999.9,71.1,NA,32,NA,0,D,999.9,NA,NA,NA,NA,NA,NA,1995,1995,Mar,16,2000-03-16,0,0.17
72565003017,1995-03-17,39.84657,-104.65623,1647.2,"DENVER INTERNATIONAL AIRPORT, CO US",46.9,24,31.6,24,1018.6,24,839.5,24,9.9,24,5.7,24,15,999.9,64.9,NA,30,NA,0.02,G,999.9,NA,NA,NA,NA,NA,NA,1995,1995,Mar,17,2000-03-17,0.02,0.19
72565003017,1995-03-18,39.84657,-104.65623,1647.2,"DENVER INTERNATIONAL AIRPORT, CO US",47.9,24,29.9,24,1016.5,24,837.5,24,9.9,24,7.6,24,17.1,22,69.1,*,30,NA,0,G,999.9,NA,NA,NA,NA,NA,NA,1995,1995,Mar,18,2000-03-18,0,0.19
72565003017,1995-03-19,39.84657,-104.65623,1647.2,"DENVER INTERNATIONAL AIRPORT, CO US",51.8,24,24.5,24,1006,24,829.8,24,9.4,24,12.9,24,37.1,43.9,69.1,NA,46.9,*,0,D,999.9,NA,NA,NA,NA,NA,NA,1995,1995,Mar,19,2000-03-19,0,0.19
72565003017,1995-03-20,39.84657,-104.65623,1647.2,"DENVER INTERNATIONAL AIRPORT, CO US",42.7,24,17.9,24,1010.4,24,831.9,24,9.9,24,7.3,24,24.1,33.8,59,*,25,NA,0,D,999.9,NA,NA,NA,NA,NA,NA,1995,1995,Mar,20,2000-03-20,0,0.19
72565003017,1995-03-21,39.84657,-104.65623,1647.2,"DENVER INTERNATIONAL AIRPORT, CO US",55.4,24,19.9,24,1002.2,24,826.7,23,9.9,24,8.6,24,15.9,22.9,77,*,39,*,0,C,999.9,NA,NA,NA,NA,NA,NA,1995,1995,Mar,21,2000-03-21,0,0.19
72565003017,1995-03-22,39.84657,-104.65623,1647.2,"DENVER INTERNATIONAL AIRPORT, CO US",55.9,24,17.4,24,996.2,24,822.8,24,9.7,24,17.6,24,30.1,39.8,78.1,NA,37.9,NA,0,D,999.9,NA,NA,NA,NA,NA,NA,1995,1995,Mar,22,2000-03-22,0,0.19
72565003017,1995-03-23,39.84657,-104.65623,1647.2,"DENVER INTERNATIONAL AIRPORT, CO US",43.9,24,10.5,24,1010.8,24,832.5,24,9.7,24,15.1,24,31.1,39.8,61,*,25.9,NA,0,D,999.9,NA,NA,NA,NA,NA,NA,1995,1995,Mar,23,2000-03-23,0,0.19
72565003017,1995-03-24,39.84657,-104.65623,1647.2,"DENVER INTERNATIONAL AIRPORT, CO US",53.5,24,17.7,24,997.2,24,822.6,24,9.6,24,21.1,24,33,38.9,62.1,NA,46,*,0,D,999.9,NA,NA,NA,NA,NA,NA,1995,1995,Mar,24,2000-03-24,0,0.19
72565003017,1995-03-25,39.84657,-104.65623,1647.2,"DENVER INTERNATIONAL AIRPORT, CO US",40,24,11.3,24,1004.7,24,827.2,24,9.9,24,9.8,24,15,18.8,63,NA,28,NA,0,D,999.9,NA,NA,NA,NA,NA,NA,1995,1995,Mar,25,2000-03-25,0,0.19
72565003017,1995-03-26,39.84657,-104.65623,1647.2,"DENVER INTERNATIONAL AIRPORT, CO US",33,24,20.7,24,1012.6,24,831.7,24,8,24,16.3,24,25.8,29.9,48.9,NA,23.9,NA,0,D,999.9,NA,NA,NA,NA,NA,NA,1995,1995,Mar,26,2000-03-26,0,0.19
72565003017,1995-03-27,39.84657,-104.65623,1647.2,"DENVER INTERNATIONAL AIRPORT, CO US",30.5,24,15.1,24,1021.9,24,838.5,24,9.9,24,7.3,24,11.1,999.9,43,*,15.1,NA,0,D,999.9,NA,NA,NA,NA,NA,NA,1995,1995,Mar,27,2000-03-27,0,0.19
72565003017,1995-03-28,39.84657,-104.65623,1647.2,"DENVER INTERNATIONAL AIRPORT, CO US",28.7,24,16.2,24,1025.8,24,841.7,24,9.7,24,7,24,15.9,18.8,44.1,NA,14.9,NA,0,D,999.9,NA,NA,NA,NA,NA,NA,1995,1995,Mar,28,2000-03-28,0,0.19
72565003017,1995-03-29,39.84657,-104.65623,1647.2,"DENVER INTERNATIONAL AIRPORT, CO US",25.2,24,20.6,24,1023.2,24,837.3,24,4.5,24,6.5,24,12,999.9,34,NA,20.8,*,0,C,999.9,NA,NA,NA,NA,NA,NA,1995,1995,Mar,29,2000-03-29,0,0.19
72565003017,1995-03-30,39.84657,-104.65623,1647.2,"DENVER INTERNATIONAL AIRPORT, CO US",24.3,24,18.9,24,1022.6,24,836.9,24,5,24,5.2,24,9.9,999.9,37.9,*,10.9,NA,0.02,G,2,NA,NA,NA,NA,NA,NA,1995,1995,Mar,30,2000-03-30,0.02,0.21
72565003017,1995-03-31,39.84657,-104.65623,1647.2,"DENVER INTERNATIONAL AIRPORT, CO US",36.5,24,17.9,24,1018.4,24,836.3,24,9.9,24,9.1,24,14,19.8,51.1,*,28,*,0,G,999.9,NA,NA,NA,NA,NA,NA,1995,1995,Mar,31,2000-03-31,0,0.21
72565003017,1995-04-01,39.84657,-104.65623,1647.2,"DENVER INTERNATIONAL AIRPORT, CO US",43.3,24,18.4,24,1015.9,24,836.1,24,9.9,24,8.7,24,13,17.9,60.1,*,28,NA,0,D,999.9,NA,NA,NA,NA,NA,NA,1995,1995,Apr,1,2000-04-01,0,0.21
72565003017,1995-04-02,39.84657,-104.65623,1647.2,"DENVER INTERNATIONAL AIRPORT, CO US",47.2,24,17.9,24,1010,24,832.2,24,9.9,24,9.2,24,18.1,999.9,61,NA,32,NA,0,D,999.9,NA,NA,NA,NA,NA,NA,1995,1995,Apr,2,2000-04-02,0,0.21
72565003017,1995-04-03,39.84657,-104.65623,1647.2,"DENVER INTERNATIONAL AIRPORT, CO US",43.9,24,28,24,1014.6,24,835.5,24,9.7,24,8.6,24,17.9,24.9,61,NA,30.9,NA,0.04,D,999.9,NA,NA,NA,NA,NA,NA,1995,1995,Apr,3,2000-04-03,0.04,0.25
72565003017,1995-04-04,39.84657,-104.65623,1647.2,"DENVER INTERNATIONAL AIRPORT, CO US",48.1,24,22,24,1016.5,24,837.5,24,9.9,24,8.7,24,14,16.9,66.9,*,30.9,NA,0,D,999.9,NA,NA,NA,NA,NA,NA,1995,1995,Apr,4,2000-04-04,0,0.25
72565003017,1995-04-05,39.84657,-104.65623,1647.2,"DENVER INTERNATIONAL AIRPORT, CO US",56,24,18.8,24,1006.2,24,830.4,24,9.9,24,10.9,24,16.9,999.9,71.1,*,32,NA,0,C,999.9,NA,NA,NA,NA,NA,NA,1995,1995,Apr,5,2000-04-05,0,0.25
72565003017,1995-04-06,39.84657,-104.65623,1647.2,"DENVER INTERNATIONAL AIRPORT, CO US",54.2,24,23,24,1005.6,24,830,24,9.9,24,6.4,24,15,999.9,72,NA,37.9,NA,0,D,999.9,NA,NA,NA,NA,NA,NA,1995,1995,Apr,6,2000-04-06,0,0.25
72565003017,1995-04-07,39.84657,-104.65623,1647.2,"DENVER INTERNATIONAL AIRPORT, CO US",58.4,24,18.3,24,1003.8,24,828.9,24,9.9,24,8.3,24,20,999.9,71.1,NA,37.9,NA,0,D,999.9,NA,NA,NA,NA,NA,NA,1995,1995,Apr,7,2000-04-07,0,0.25
72565003017,1995-04-08,39.84657,-104.65623,1647.2,"DENVER INTERNATIONAL AIRPORT, CO US",59.3,24,16.5,24,999.2,24,825.6,24,9.9,24,5.2,24,18.8,32.8,72,NA,46,NA,0,C,999.9,NA,NA,NA,NA,NA,NA,1995,1995,Apr,8,2000-04-08,0,0.25
72565003017,1995-04-09,39.84657,-104.65623,1647.2,"DENVER INTERNATIONAL AIRPORT, CO US",40,24,24.6,24,1000.6,24,824,24,8.3,24,13.1,24,27,29.9,70,*,28.9,NA,0,D,999.9,NA,NA,NA,NA,NA,NA,1995,1995,Apr,9,2000-04-09,0,0.25
72565003017,1995-04-10,39.84657,-104.65623,1647.2,"DENVER INTERNATIONAL AIRPORT, CO US",25.6,24,22.5,24,1012.1,24,828.3,24,3.9,24,14.6,24,22.9,26.8,41,NA,19.9,NA,0.06,G,999.9,NA,NA,NA,NA,NA,NA,1995,1995,Apr,10,2000-04-10,0.06,0.31
72565003017,1995-04-11,39.84657,-104.65623,1647.2,"DENVER INTERNATIONAL AIRPORT, CO US",22.1,24,19.1,24,1014.5,24,829.6,24,3.7,24,5.8,24,11.1,999.9,32,NA,16.9,NA,0.02,G,999.9,NA,NA,NA,NA,NA,NA,1995,1995,Apr,11,2000-04-11,0.02,0.33
72565003017,1995-04-12,39.84657,-104.65623,1647.2,"DENVER INTERNATIONAL AIRPORT, CO US",36.8,24,25.2,24,1018,24,835.5,24,9.9,24,8.1,24,18.1,999.9,57,*,17.1,NA,0.03,G,999.9,NA,NA,NA,NA,NA,NA,1995,1995,Apr,12,2000-04-12,0.03,0.36
72565003017,1995-04-13,39.84657,-104.65623,1647.2,"DENVER INTERNATIONAL AIRPORT, CO US",52.8,24,29.1,24,1015.2,24,837,24,9.9,24,11.6,24,17.1,999.9,69.1,*,39.9,*,0,G,999.9,NA,NA,NA,NA,NA,NA,1995,1995,Apr,13,2000-04-13,0,0.36
72565003017,1995-04-14,39.84657,-104.65623,1647.2,"DENVER INTERNATIONAL AIRPORT, CO US",57.3,24,21.1,24,998,24,824.1,24,9.7,24,17.7,24,33,38.9,71.1,NA,39.9,NA,0.12,C,999.9,NA,NA,NA,NA,NA,NA,1995,1995,Apr,14,2000-04-14,0.12,0.48
72565003017,1995-04-15,39.84657,-104.65623,1647.2,"DENVER INTERNATIONAL AIRPORT, CO US",41,24,25.5,24,1007.1,24,829.4,24,9.9,24,11.5,24,22,28,66.9,NA,25,NA,0,D,999.9,NA,NA,NA,NA,NA,NA,1995,1995,Apr,15,2000-04-15,0,0.48
72565003017,1995-04-16,39.84657,-104.65623,1647.2,"DENVER INTERNATIONAL AIRPORT, CO US",43.1,24,32.2,24,1008.1,24,829.7,24,9.9,24,8.2,24,17.1,999.9,57,NA,25,NA,0,D,999.9,NA,NA,NA,NA,NA,NA,1995,1995,Apr,16,2000-04-16,0,0.48
72565003017,1995-04-17,39.84657,-104.65623,1647.2,"DENVER INTERNATIONAL AIRPORT, CO US",38.9,24,32.1,24,1007,24,828,24,9.8,24,16.2,24,22.9,25.8,53.1,NA,33.1,NA,0,D,999.9,NA,NA,NA,NA,NA,NA,1995,1995,Apr,17,2000-04-17,0,0.48
72565003017,1995-04-18,39.84657,-104.65623,1647.2,"DENVER INTERNATIONAL AIRPORT, CO US",35.4,24,28.6,24,1006.1,24,825.8,24,7.5,24,8.9,24,18.1,18.8,51.1,*,26.1,NA,0,D,999.9,NA,NA,NA,NA,NA,NA,1995,1995,Apr,18,2000-04-18,0,0.48
72565003017,1995-04-19,39.84657,-104.65623,1647.2,"DENVER INTERNATIONAL AIRPORT, CO US",34.2,24,29.6,24,1009.6,24,829.1,24,7,23,11.2,24,17.1,999.9,52,NA,26.1,NA,0.19,G,999.9,NA,NA,NA,NA,NA,NA,1995,1995,Apr,19,2000-04-19,0.19,0.67
72565003017,1995-04-20,39.84657,-104.65623,1647.2,"DENVER INTERNATIONAL AIRPORT, CO US",34.9,24,30.4,24,1003.9,24,824.1,24,6.7,24,8.3,24,18.8,22,48,*,27,NA,0,G,999.9,NA,NA,NA,NA,NA,NA,1995,1995,Apr,20,2000-04-20,0,0.67
72565003017,1995-04-21,39.84657,-104.65623,1647.2,"DENVER INTERNATIONAL AIRPORT, CO US",36.5,24,34,24,1008.8,24,828.6,24,5.6,23,8.7,24,13,999.9,48,NA,27,NA,0.12,C,999.9,NA,NA,NA,NA,NA,NA,1995,1995,Apr,21,2000-04-21,0.12,0.79
72565003017,1995-04-22,39.84657,-104.65623,1647.2,"DENVER INTERNATIONAL AIRPORT, CO US",36,24,29.4,24,1022.3,24,839.9,24,9.9,24,8,24,15,999.9,42.1,NA,30.9,NA,0.01,D,999.9,NA,NA,NA,NA,NA,NA,1995,1995,Apr,22,2000-04-22,0.01,0.8
72565003017,1995-04-23,39.84657,-104.65623,1647.2,"DENVER INTERNATIONAL AIRPORT, CO US",33.9,24,26,24,1021.7,24,839,24,9.4,24,6.5,24,15.9,999.9,46.9,*,21.9,NA,0,D,999.9,NA,NA,NA,NA,NA,NA,1995,1995,Apr,23,2000-04-23,0,0.8
72565003017,1995-04-24,39.84657,-104.65623,1647.2,"DENVER INTERNATIONAL AIRPORT, CO US",38.8,24,29.4,24,1018.4,24,837.1,24,8.4,24,6.3,24,12,999.9,54,*,21.9,NA,0.02,C,999.9,NA,NA,NA,NA,NA,NA,1995,1995,Apr,24,2000-04-24,0.02,0.82
72565003017,1995-04-25,39.84657,-104.65623,1647.2,"DENVER INTERNATIONAL AIRPORT, CO US",48.2,24,25.4,24,1008.4,24,830.7,24,9.9,24,9.2,24,14,999.9,57.9,NA,30.9,NA,0,D,999.9,NA,NA,NA,NA,NA,NA,1995,1995,Apr,25,2000-04-25,0,0.82
