"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AA2","AA3","AG1","AJ1","AW1","GA1","GD1","GD2","GD3","GF1","KA1","KA2","MA1","MD1","MW1","MW2","MW3","MW4","MW5","OC1","REM","EQD"
"72565003017","1995-01-04T09:00:00","4","39.8328","-104.6575","1650.2","DENVER INTERNATIONAL AIRPORT, CO US","SAO  ","DVX  ","V020","999,1,C,0000,1","99999,9,9,N","006437,1,N,1","-0162,1","-0173,1","10314,1",,,,"1,000",,,,,,,,,,"10244,1,99999,9","3,1,007,1,+999,9","45,1",,,,,,"AWY018CLR BLO 120 53007;","Q01+000100PRSWM2"
"72565003017","1995-01-04T10:00:00","4","39.8328","-104.6575","1650.2","DENVER INTERNATIONAL AIRPORT, CO US","SAO  ","DVX  ","V020","170,1,N,0015,1","99999,9,9,N","008047,1,N,1","-0162,1","-0178,1","10320,1",,,,"1,999",,,,,,,,,,"10247,1,99999,9",,"45,1",,,,,,"AWY011CLR BLO 120","Q01+000100PRSWM2"
"72565003017","1995-01-27T18:00:00","4","39.8328","-104.6575","1650.2","DENVER INTERNATIONAL AIRPORT, CO US","SAO  ","DVX  ","V020","360,1,N,0051,1","01800,1,9,N","016093,1,N,1","+0050,1","-0034,1","10074,1","06,0000,9,1",,,"0,000",,,,"2,99,1,+01410,9,9","4,99,1,+01800,9,9",,"08,99,1,99,9,99,9,99999,9,99,9,99,9","999,M,+0050,1","999,N,+0005,1","10085,1,99999,9","1,1,012,1,+999,9","00,1",,,,,,"AWY01851012 10041 20033;",
"72565003017","1995-02-07T05:00:00","4","39.8328","-104.6575","1650.2","DENVER INTERNATIONAL AIRPORT, CO US","SAO  ","DVX  ","V020","110,1,N,0020,1","22000,1,9,N","016093,1,N,1","+0000,1","-0039,1","10186,1",,,,"1,999",,,,"2,99,1,+03600,9,9",,,"02,99,1,99,9,99,9,99999,9,99,9,99,9",,,"10190,1,99999,9",,"00,1",,,,,,,
"72565003017","1995-02-07T06:00:00","4","39.8328","-104.6575","1650.2","DENVER INTERNATIONAL AIRPORT, CO US","SAO  ","DVX  ","V020","070,1,N,0030,1","02400,1,M,N","016093,1,N,1","-0012,1","-0045,1","10189,1","06,0000,9,1",,,"0,000",,,,"3,99,1,+02400,9,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9","999,M,+0127,1","999,N,-0050,1","10196,1,99999,9","3,1,006,1,+999,9","00,1",,,,,,"AWY01853006 10055 20023;",
"72565003017","1995-02-07T07:00:00","4","39.8328","-104.6575","1650.2","DENVER INTERNATIONAL AIRPORT, CO US","SAO  ","DVX  ","V020","060,1,N,0046,1","02700,1,9,N","016093,1,N,1","-0012,1","-0045,1","10199,1",,,,"1,999",,,,"2,99,1,+02100,9,9","4,99,1,+02700,9,9",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,,"10210,1,99999,9",,"00,1",,,,,,,
"72565003017","1995-02-07T08:00:00","4","39.8328","-104.6575","1650.2","DENVER INTERNATIONAL AIRPORT, CO US","SAO  ","DVX  ","V020","080,1,N,0030,1","01500,1,M,N","016093,1,N,1","-0006,1","-0050,1","10203,1",,,,"1,999",,,,"3,99,1,+01500,9,9","4,99,1,+02100,9,9",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,,"10217,1,99999,9",,"00,1",,,,,,,
"72565003017","1995-02-07T09:00:00","4","39.8328","-104.6575","1650.2","DENVER INTERNATIONAL AIRPORT, CO US","SAO  ","DVX  ","V020","070,1,N,0041,1","01020,1,M,N","016093,1,N,1","-0006,1","-0050,1","10212,1",,,,"1,000",,,,"3,99,1,+01020,9,9","4,99,1,+03000,9,9",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,,"10227,1,99999,9","1,1,025,1,+999,9","00,1",,,,,,"AWY00651025;",
"72565003017","1995-02-07T09:26:00","4","39.8328","-104.6575","1650.2","DENVER INTERNATIONAL AIRPORT, CO US","SAOSP","DVX  ","V020","100,1,N,0020,1","00390,1,M,N","016093,1,N,1","-0012,1","-0045,1","10218,1",,,,"0,000",,,,"3,99,1,+00390,9,2","4,99,1,+01020,9,9",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,,"10234,1,99999,9",,"00,1",,,,,,"AWY010BKN V SCT;",
"72565003017","1995-02-07T09:44:00","4","39.8328","-104.6575","1650.2","DENVER INTERNATIONAL AIRPORT, CO US","SAOSP","DVX  ","V020","130,1,N,0025,1","00450,1,M,N","016093,1,N,1","-0012,1","-0045,1","10218,1",,,,"0,000",,,,"3,99,1,+00450,9,9","4,99,1,+00630,9,9",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,,"10230,1,99999,9",,"00,1",,,,,,,
"72565003017","1995-02-07T10:00:00","4","39.8328","-104.6575","1650.2","DENVER INTERNATIONAL AIRPORT, CO US","SAO  ","DVX  ","V020","150,1,N,0015,1","00570,1,9,N","016093,1,N,1","-0012,1","-0045,1","10222,1",,,,"1,999",,,,"2,99,1,+00390,9,9","3,99,1,+00570,9,9","4,99,1,+01080,9,9","08,99,1,99,9,99,9,99999,9,99,9,99,9",,,"10234,1,99999,9",,"00,1",,,,,,,
"72565003017","1995-02-07T15:00:00","4","39.8328","-104.6575","1650.2","DENVER INTERNATIONAL AIRPORT, CO US","SAO  ","DVX  ","V020","070,1,N,0025,1","00780,1,M,N","016093,1,N,1","-0023,1","-0050,1","10286,1",,,,"1,000",,,,"4,99,1,+00780,9,9",,,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,,"10271,1,99999,9","1,1,019,1,+999,9","00,1",,,,,,"AWY00651019;",
"72565003017","1995-02-28T00:00:00","4","39.8328","-104.6575","1650.2","DENVER INTERNATIONAL AIRPORT, CO US","FM-12","DVX  ","V020","060,1,N,0072,1","99999,9,9,N","024000,1,N,1","+0033,1","+0006,1","10193,1","06,0000,9,1",,,"4,000",,,,,,,"08,99,1,99,9,99,9,00450,1,99,9,99,9",,,"99999,9,08347,1",,,,,,,,"SYN015 333 555 92800;",
