day_of_year,month,day,average_precip_ytd,average_mean,average_high,average_low,mean_sd,min_sd,max_sd
2000-01-01,1,1,0.01,31,43.9,18.1,11.1,10.6,12.9
2000-01-02,1,2,0.03,31.1,44.1,18.2,11.1,10.6,12.9
2000-01-03,1,3,0.04,31.2,44.2,18.3,11.1,10.6,12.9
2000-01-04,1,4,0.05,31.3,44.3,18.4,11.1,10.6,12.9
2000-01-05,1,5,0.06,31.4,44.4,18.4,11,10.6,12.8
2000-01-06,1,6,0.07,31.5,44.5,18.5,11,10.5,12.8
2000-01-07,1,7,0.09,31.6,44.5,18.6,11,10.5,12.8
2000-01-08,1,8,0.1,31.6,44.6,18.6,11,10.5,12.7
2000-01-09,1,9,0.11,31.7,44.7,18.7,10.9,10.5,12.7
2000-01-10,1,10,0.12,31.8,44.8,18.8,10.9,10.4,12.6
2000-01-11,1,11,0.13,31.8,44.8,18.8,10.9,10.4,12.6
2000-01-12,1,12,0.14,31.9,44.9,18.9,10.8,10.4,12.6
2000-01-13,1,13,0.15,31.9,44.9,18.9,10.8,10.4,12.6
2000-01-14,1,14,0.16,31.9,44.9,18.9,10.8,10.3,12.6
2000-01-15,1,15,0.18,31.9,44.9,18.9,10.8,10.3,12.6
2000-01-16,1,16,0.19,31.9,44.9,18.9,10.8,10.3,12.6
2000-01-17,1,17,0.2,31.9,44.9,18.9,10.8,10.3,12.6
2000-01-18,1,18,0.21,31.9,44.9,18.9,10.9,10.4,12.7
2000-01-19,1,19,0.23,31.9,44.9,18.9,10.9,10.4,12.7
2000-01-20,1,20,0.24,31.9,44.9,18.9,10.9,10.4,12.7
2000-01-21,1,21,0.25,31.9,44.8,18.9,10.9,10.4,12.7
2000-01-22,1,22,0.26,31.8,44.8,18.9,11,10.4,12.8
2000-01-23,1,23,0.28,31.8,44.7,18.8,11,10.4,12.8
2000-01-24,1,24,0.29,31.7,44.7,18.8,11,10.5,12.8
2000-01-25,1,25,0.3,31.7,44.6,18.8,11,10.5,12.9
2000-01-26,1,26,0.32,31.6,44.5,18.7,11,10.4,12.9
2000-01-27,1,27,0.33,31.6,44.5,18.7,11,10.4,12.9
2000-01-28,1,28,0.34,31.5,44.4,18.6,11.1,10.4,13
2000-01-29,1,29,0.35,31.5,44.4,18.6,11.1,10.4,13
2000-01-30,1,30,0.37,31.4,44.3,18.6,11.1,10.4,13.1
2000-01-31,1,31,0.38,31.4,44.3,18.5,11.1,10.4,13.1
2000-02-01,2,1,0.39,31.4,44.2,18.5,11.1,10.4,13.1
2000-02-02,2,2,0.41,31.3,44.2,18.5,11.1,10.4,13.2
2000-02-03,2,3,0.42,31.3,44.2,18.5,11.1,10.3,13.2
2000-02-04,2,4,0.44,31.3,44.1,18.5,11.1,10.3,13.2
2000-02-05,2,5,0.45,31.3,44.1,18.5,11.1,10.3,13.3
2000-02-06,2,6,0.46,31.3,44.2,18.5,11.1,10.3,13.4
2000-02-07,2,7,0.48,31.4,44.2,18.5,11.2,10.3,13.4
2000-02-08,2,8,0.49,31.4,44.2,18.6,11.2,10.3,13.5
2000-02-09,2,9,0.51,31.5,44.3,18.6,11.2,10.2,13.6
2000-02-10,2,10,0.52,31.6,44.4,18.7,11.2,10.2,13.6
2000-02-11,2,11,0.54,31.6,44.5,18.8,11.2,10.2,13.7
2000-02-12,2,12,0.55,31.8,44.6,18.9,11.3,10.2,13.7
2000-02-13,2,13,0.57,31.9,44.8,19,11.3,10.2,13.7
2000-02-14,2,14,0.58,32,45,19.1,11.3,10.2,13.7
2000-02-15,2,15,0.6,32.2,45.1,19.3,11.2,10.1,13.7
2000-02-16,2,16,0.61,32.4,45.4,19.4,11.2,10,13.7
2000-02-17,2,17,0.63,32.6,45.6,19.6,11.2,10,13.7
2000-02-18,2,18,0.64,32.8,45.8,19.8,11.1,9.9,13.7
2000-02-19,2,19,0.65,33.1,46.1,20,11,9.8,13.6
2000-02-20,2,20,0.67,33.3,46.4,20.3,11,9.8,13.6
2000-02-21,2,21,0.68,33.6,46.7,20.5,10.9,9.7,13.6
2000-02-22,2,22,0.7,33.9,47.1,20.8,10.9,9.6,13.5
2000-02-23,2,23,0.71,34.2,47.4,21,10.8,9.5,13.5
2000-02-24,2,24,0.73,34.5,47.8,21.3,10.8,9.5,13.4
2000-02-25,2,25,0.74,34.9,48.2,21.6,10.7,9.4,13.4
2000-02-26,2,26,0.76,35.2,48.6,21.9,10.6,9.4,13.3
2000-02-27,2,27,0.77,35.6,49,22.2,10.6,9.3,13.2
2000-02-28,2,28,0.79,36,49.4,22.5,10.5,9.2,13.2
2000-02-29,2,29,NA,36.2,49.6,22.7,10.5,9.2,13.2
2000-03-01,3,1,0.81,36.3,49.8,22.9,10.5,9.2,13.2
2000-03-02,3,2,0.82,36.7,50.3,23.2,10.4,9.1,13.1
2000-03-03,3,3,0.84,37.1,50.7,23.5,10.4,9.1,13.1
2000-03-04,3,4,0.86,37.5,51.2,23.9,10.4,9,13.1
2000-03-05,3,5,0.88,37.9,51.6,24.2,10.4,9,13.1
2000-03-06,3,6,0.91,38.3,52.1,24.6,10.4,9,13.1
2000-03-07,3,7,0.93,38.7,52.5,24.9,10.4,9,13.1
2000-03-08,3,8,0.95,39.1,53,25.3,10.4,8.9,13.1
2000-03-09,3,9,0.98,39.5,53.4,25.6,10.3,8.9,13.1
2000-03-10,3,10,1,39.9,53.8,25.9,10.3,8.9,13.1
2000-03-11,3,11,1.03,40.3,54.3,26.3,10.3,8.8,13
2000-03-12,3,12,1.05,40.6,54.7,26.6,10.2,8.8,13
2000-03-13,3,13,1.08,41,55.1,26.9,10.2,8.7,13
2000-03-14,3,14,1.11,41.4,55.5,27.2,10.1,8.7,12.9
2000-03-15,3,15,1.14,41.7,55.9,27.5,10.1,8.6,12.9
2000-03-16,3,16,1.16,42,56.2,27.8,10,8.5,12.9
2000-03-17,3,17,1.19,42.4,56.6,28.1,10,8.5,12.8
2000-03-18,3,18,1.22,42.7,56.9,28.4,9.9,8.4,12.8
2000-03-19,3,19,1.25,43,57.2,28.7,9.8,8.3,12.7
2000-03-20,3,20,1.28,43.2,57.6,28.9,9.8,8.3,12.7
2000-03-21,3,21,1.31,43.5,57.8,29.2,9.7,8.2,12.7
2000-03-22,3,22,1.35,43.8,58.1,29.4,9.7,8.1,12.7
2000-03-23,3,23,1.38,44,58.4,29.6,9.7,8.1,12.7
2000-03-24,3,24,1.41,44.2,58.6,29.8,9.6,8,12.7
2000-03-25,3,25,1.44,44.4,58.8,30,9.6,8,12.7
2000-03-26,3,26,1.47,44.6,59,30.2,9.6,7.9,12.7
2000-03-27,3,27,1.51,44.8,59.2,30.4,9.6,7.9,12.7
2000-03-28,3,28,1.54,45,59.4,30.6,9.6,7.9,12.7
2000-03-29,3,29,1.58,45.2,59.6,30.8,9.6,7.9,12.7
2000-03-30,3,30,1.61,45.3,59.7,30.9,9.6,7.8,12.7
2000-03-31,3,31,1.65,45.5,59.8,31.1,9.6,7.8,12.7
2000-04-01,4,1,1.69,45.6,60,31.2,9.5,7.8,12.7
2000-04-02,4,2,1.73,45.7,60.1,31.4,9.5,7.8,12.7
2000-04-03,4,3,1.76,45.8,60.2,31.5,9.5,7.7,12.7
2000-04-04,4,4,1.8,46,60.3,31.7,9.4,7.7,12.7
2000-04-05,4,5,1.84,46.1,60.4,31.8,9.4,7.7,12.6
2000-04-06,4,6,1.88,46.2,60.4,32,9.4,7.6,12.6
2000-04-07,4,7,1.93,46.3,60.5,32.1,9.3,7.6,12.5
2000-04-08,4,8,1.97,46.4,60.6,32.3,9.3,7.5,12.5
2000-04-09,4,9,2.01,46.6,60.7,32.4,9.2,7.5,12.5
2000-04-10,4,10,2.07,46.7,60.8,32.6,9.2,7.4,12.4
2000-04-11,4,11,2.12,46.8,60.9,32.7,9.1,7.3,12.4
2000-04-12,4,12,2.17,46.9,61,32.9,9.1,7.3,12.3
2000-04-13,4,13,2.22,47.1,61.1,33.1,9,7.2,12.3
2000-04-14,4,14,2.28,47.2,61.2,33.3,9,7.2,12.3
2000-04-15,4,15,2.34,47.4,61.3,33.5,9,7.2,12.3
2000-04-16,4,16,2.4,47.5,61.4,33.7,9,7.1,12.3
2000-04-17,4,17,2.46,47.7,61.6,33.9,8.9,7.1,12.3
2000-04-18,4,18,2.52,47.9,61.7,34.1,8.9,7.1,12.2
2000-04-19,4,19,2.58,48.1,61.9,34.3,8.9,7.1,12.2
2000-04-20,4,20,2.64,48.3,62,34.6,8.9,7,12.2
2000-04-21,4,21,2.7,48.5,62.2,34.9,8.8,7,12.2
2000-04-22,4,22,2.77,48.8,62.4,35.1,8.8,7,12.1
2000-04-23,4,23,2.83,49,62.6,35.4,8.8,7,12.1
2000-04-24,4,24,2.9,49.3,62.9,35.7,8.7,6.9,12
2000-04-25,4,25,2.96,49.6,63.1,36,8.7,6.9,12
2000-04-26,4,26,3.03,49.9,63.4,36.3,8.6,6.9,11.9
2000-04-27,4,27,3.11,50.2,63.7,36.6,8.6,6.8,11.9
2000-04-28,4,28,3.18,50.5,64,37,8.6,6.8,11.8
2000-04-29,4,29,3.25,50.8,64.3,37.3,8.5,6.8,11.8
2000-04-30,4,30,3.33,51.1,64.6,37.7,8.5,6.7,11.8
2000-05-01,5,1,3.39,51.5,64.9,38,8.5,6.7,11.7
2000-05-02,5,2,3.45,51.8,65.3,38.4,8.4,6.7,11.7
2000-05-03,5,3,3.52,52.2,65.6,38.8,8.4,6.7,11.7
2000-05-04,5,4,3.59,52.6,66,39.1,8.4,6.6,11.6
2000-05-05,5,5,3.66,53,66.4,39.5,8.4,6.6,11.6
2000-05-06,5,6,3.73,53.3,66.8,39.9,8.4,6.6,11.6
2000-05-07,5,7,3.8,53.7,67.2,40.3,8.4,6.6,11.6
2000-05-08,5,8,3.87,54.1,67.6,40.7,8.3,6.6,11.6
2000-05-09,5,9,3.93,54.6,68,41.1,8.3,6.5,11.6
2000-05-10,5,10,4,55,68.5,41.5,8.3,6.5,11.5
2000-05-11,5,11,4.07,55.4,68.9,41.9,8.3,6.5,11.5
2000-05-12,5,12,4.14,55.8,69.3,42.2,8.3,6.5,11.5
2000-05-13,5,13,4.21,56.2,69.8,42.6,8.2,6.4,11.4
2000-05-14,5,14,4.29,56.6,70.2,43,8.2,6.4,11.4
2000-05-15,5,15,4.36,57,70.7,43.4,8.1,6.4,11.3
2000-05-16,5,16,4.43,57.5,71.1,43.8,8.1,6.3,11.3
