month,day,record_high,record_high_year_set,record_low,record_low_year_set,record_warmest_minimum,record_coldest_maximum,maximum_precipitation,maximum_snowfall,record_high_also_previous_years,record_low_also_previous_years
1,1,67,1882,-19,1901,42,2,0.5,5,TRUE,TRUE
1,2,72,1997,-17,1911,42,5,0.37,7.3,TRUE,TRUE
1,3,65,1918,-17,1974,40,-1,0.48000000000000004,4.3,TRUE,TRUE
1,4,67,1956,-16,1974,52,2,0.26,4,TRUE,TRUE
1,5,72,1956,-17,1974,44,4,0.25,5.4,TRUE,TRUE
1,6,66,2006,-21,1913,37,-8,0.47000000000000003,5.5,TRUE,TRUE
1,7,69,2006,-18,1913,42,-8,0.64,13.8,TRUE,TRUE
1,8,69,1956,-19,1886,39,3,0.92,12,TRUE,TRUE
1,9,72,1953,-29,1875,43,-1,0.43000000000000005,6.5,TRUE,TRUE
1,10,71,1990,-24,1962,40,1,0.29000000000000004,2.2,TRUE,TRUE
1,11,67,1936,-25,1963,40,-9,0.6,4.2,TRUE,TRUE
1,12,70,1953,-25,1963,47,-1,0.22,4.4,TRUE,TRUE
1,13,69,1996,-20,1875,41,-2,0.24000000000000002,3.4,TRUE,TRUE
1,14,65,1938,-18,1888,44,-4,0.36,4,TRUE,TRUE
1,15,68,1912,-20,1888,47,2,0.5,10.1,TRUE,TRUE
1,16,64,1923,-19,2024,47,0,0.2,2.7,TRUE,TRUE
1,17,65,1971,-20,1930,40,-2,0.62,4,TRUE,TRUE
1,18,65,2017,-19,1984,38,4,0.28,4.1,TRUE,TRUE
1,19,68,1986,-20,1883,47,-9,0.63,7.2,TRUE,TRUE
1,20,70,2005,-18,1883,41,-2,0.8700000000000001,6.9,TRUE,TRUE
1,21,71,2009,-15,1930,46,-1,0.46,5.7,TRUE,TRUE
1,22,68,1981,-14,1962,42,11,0.47000000000000003,3.4,TRUE,TRUE
1,23,69,1981,-15,1877,42,9,0.21000000000000002,3.6,TRUE,TRUE
1,24,68,1970,-18,1872,41,-4,0.43000000000000005,8,TRUE,TRUE
1,25,72,1890,-20,1872,48,3,0.36,4.1,TRUE,TRUE
1,26,73,1982,-20,1902,47,2,0.59,7,TRUE,TRUE
1,27,76,1888,-14,1897,42,5,0.26,3,TRUE,TRUE
1,28,69,1888,-22,1872,38,4,0.63,8.6,TRUE,TRUE
1,29,67,1920,-12,1951,39,-4,0.6,8.3,TRUE,TRUE
1,30,71,1888,-10,2023,45,4,0.41000000000000003,4.3,TRUE,TRUE
1,31,70,1954,-24,1951,47,2,1.22,12.2,TRUE,TRUE
2,1,73,1934,-25,1951,44,-1,0.32999999999999996,6.9,TRUE,TRUE
2,2,74,2020,-18,2007,44,-2,0.22,4.7,TRUE,TRUE
2,3,70,1954,-18,1883,40,-10,0.72,12.5,TRUE,TRUE
2,4,77,1890,-22,1883,47,-9,0.45,5.4,TRUE,TRUE
2,5,76,1963,-24,1989,42,-1,0.6699999999999999,3.6,TRUE,TRUE
2,6,70,2015,-22,1899,46,1,0.26,3.8,TRUE,TRUE
2,7,74,2015,-17,1936,41,-4,0.54,6.2,TRUE,TRUE
2,8,75,1954,-25,1936,46,8,0.55,8,TRUE,TRUE
2,9,73,1954,-15,2001,45,-5,0.61,6,TRUE,TRUE
2,10,80,2017,-14,1933,45,5,0.71,6.5,TRUE,TRUE
2,11,73,1951,-20,1899,41,-5,0.39,5.4,TRUE,TRUE
2,12,72,1954,-21,1905,39,0,0.46,5.9,TRUE,TRUE
2,13,73,1954,-14,1905,45,4,0.3,3.7,TRUE,TRUE
2,14,71,1979,-14,2021,40,1,0.41000000000000003,5,TRUE,TRUE
2,15,67,2017,-20,1881,37,10,0.49,5.5,TRUE,TRUE
2,16,75,2017,-10,1900,40,6,0.37,3.8,TRUE,TRUE
2,17,72,1970,-10,2006,38,4,0.72,7.5,TRUE,TRUE
2,18,73,2016,-13,2006,42,7,0.47000000000000003,5.2,TRUE,TRUE
2,19,71,1981,-4,2006,40,12,1.01,9.5,TRUE,TRUE
2,20,75,1935,-5,1955,42,13,0.47000000000000003,6.6,TRUE,TRUE
2,21,73,2017,-7,2018,40,9,0.24000000000000002,6,TRUE,TRUE
2,22,72,1936,-7,2023,47,8,0.88,9.5,TRUE,TRUE
2,23,72,2002,-11,2023,45,7,0.22,3.4,TRUE,TRUE
2,24,71,1995,-8,1874,42,9,0.54,9.2,TRUE,TRUE
2,25,74,1986,-11,1874,47,14,0.3,4.3,TRUE,TRUE
2,26,71,1950,-8,2002,42,2,0.6,6,TRUE,TRUE
2,27,73,2006,-13,1962,46,-1,0.7,8.4,TRUE,TRUE
2,28,77,2006,-18,1962,45,8,0.44,12,TRUE,TRUE
2,29,70,1992,-9,1960,41,23,0.2,2.4,TRUE,TRUE
3,1,74,2008,-7,1922,48,14,0.76,6.7,TRUE,TRUE
3,2,74,2022,-7,1960,47,11,0.42000000000000004,5,TRUE,TRUE
3,3,76,1921,-8,1960,47,6,0.6699999999999999,7.8,TRUE,TRUE
3,4,76,2009,-5,2019,47,15,1.04,7.8,TRUE,TRUE
3,5,76,1910,-5,1989,44,15,2.68,18,TRUE,TRUE
3,6,75,1972,-7,1943,45,6,1.32,11.6,TRUE,TRUE
3,7,72,1879,-2,1971,43,20,0.36,4.4,TRUE,TRUE
3,8,74,1989,-2,1969,45,13,0.51,6.6,TRUE,TRUE
3,9,77,1989,-5,1932,43,15,0.4,5.8,TRUE,TRUE
3,10,79,1989,-7,2024,44,6,1.07,7.7,TRUE,TRUE
3,11,79,1900,-5,1948,52,9,0.6599999999999999,4.8,TRUE,TRUE
3,12,75,1916,-8,1880,46,4,0.52,9.3,TRUE,TRUE
3,13,74,2012,-10,1880,50,12,0.8,7.2,TRUE,TRUE
3,14,78,1935,-10,1880,54,8,2.2800000000000002,19.9,TRUE,TRUE
3,15,79,2015,-8,1880,52,19,0.6699999999999999,6.4,TRUE,TRUE
3,16,81,2015,-4,1880,56,14,0.33999999999999997,3.7,TRUE,TRUE
3,17,76,2012,-6,1892,47,18,0.6,4.2,TRUE,TRUE
3,18,82,1907,-2,1965,48,12,1.53,9.7,TRUE,TRUE
3,19,81,1907,-5,1906,52,13,0.74,6,TRUE,TRUE
3,20,80,1907,1,1965,52,24,1.56,9,TRUE,TRUE
3,21,78,1995,0,1912,54,20,1.3800000000000001,17.3,TRUE,TRUE
3,22,79,2004,-3,1952,47,11,0.58,5.8,TRUE,TRUE
3,23,77,2017,1,1898,45,19,1.2,13.1,TRUE,TRUE
3,24,76,1896,-3,1965,50,18,1.23,13.8,TRUE,TRUE
3,25,75,2012,-2,1996,50,14,1.3900000000000001,12.4,TRUE,TRUE
3,26,84,1971,-4,1955,48,14,0.63,11.3,TRUE,TRUE
3,27,78,1988,-5,1899,52,15,0.71,6.1,TRUE,TRUE
3,28,83,1963,-11,1886,50,15,1.11,5.4,TRUE,TRUE
3,29,79,1967,2,1886,53,23,0.91,9.2,TRUE,TRUE
3,30,82,2010,10,1987,49,25,0.93,8.4,TRUE,TRUE
3,31,81,2012,5,1954,53,21,1.03,9,TRUE,TRUE
4,1,84,2012,10,1975,55,18,1.29,9,TRUE,TRUE
4,2,84,2011,-2,1975,52,26,1.99,17.3,TRUE,TRUE
4,3,78,2021,7,1891,54,17,0.98,10.4,TRUE,TRUE
4,4,80,2021,6,1920,54,25,0.73,4.9,TRUE,TRUE
4,5,82,1991,11,2023,45,27,1,14,TRUE,TRUE
4,6,83,1991,7,1983,53,28,0.54,3.5,TRUE,TRUE
4,7,82,1978,9,1957,53,26,0.9,10.1,TRUE,TRUE
4,8,81,1930,5,1973,54,29,0.8700000000000001,11.6,TRUE,TRUE
4,9,81,1977,9,2013,55,22,0.8600000000000001,6,TRUE,TRUE
4,10,80,1996,6,2013,55,20,1.09,6.9,TRUE,TRUE
4,11,85,2023,8,1997,48,19,1.1500000000000001,8.5,TRUE,TRUE
4,12,85,2023,6,1997,51,30,0.5700000000000001,4.8,TRUE,TRUE
4,13,85,2006,10,2022,55,25,3.25,8.5,TRUE,TRUE
4,14,83,1963,11,2020,56,21,0.76,4.8,TRUE,TRUE
4,15,84,2002,18,1902,57,32,1.8,9,TRUE,TRUE
4,16,84,1985,19,2020,52,29,1.22,11.8,TRUE,TRUE
4,17,83,2006,12,2020,53,28,1.1600000000000001,8.5,TRUE,TRUE
4,18,82,1987,8,1953,54,27,1.54,10,TRUE,TRUE
4,19,83,1961,13,1893,51,26,1.26,13,TRUE,TRUE
4,20,83,1989,13,1966,52,31,0.9500000000000001,11.4,TRUE,TRUE
4,21,89,1989,14,1907,60,32,1.1300000000000001,8,TRUE,TRUE
4,22,89,2022,21,2013,55,34,1.32,4.5,TRUE,TRUE
4,23,85,1989,17,1873,55,28,2.2600000000000002,23,TRUE,TRUE
4,24,88,2012,15,1973,53,30,2.16,8,TRUE,TRUE
4,25,83,1987,20,1924,56,26,0.9400000000000001,12.5,TRUE,TRUE
4,26,84,1981,18,1924,53,33,3.04,15.7,TRUE,TRUE
4,27,84,1992,23,1994,59,33,1.6,4.8,TRUE,TRUE
4,28,86,1910,24,1917,54,31,0.44,4.9,TRUE,TRUE
4,29,83,2018,12,1877,54,28,1.43,6.9,TRUE,TRUE
4,30,90,1992,19,1909,56,33,2.03,6,TRUE,TRUE
5,1,87,1992,23,1909,56,33,1.11,3.2,TRUE,TRUE
5,2,90,1879,19,2013,58,37,1.6300000000000001,8.3,TRUE,TRUE
5,3,86,1949,19,1907,59,34,1.26,6.2,TRUE,TRUE
5,4,88,2012,27,1964,58,30,0.8200000000000001,9,TRUE,TRUE
5,5,89,2000,27,1917,60,38,1.1400000000000001,11.5,TRUE,TRUE
5,6,86,2017,23,1917,60,35,3.27,8.6,TRUE,TRUE
5,7,89,2022,23,1978,61,33,2.9499999999999997,1.5,TRUE,TRUE
5,8,91,1895,27,1885,60,39,2.02,1.9,TRUE,TRUE
5,9,89,1916,22,2002,56,35,2.34,3.5,TRUE,TRUE
5,10,90,2018,27,2015,54,31,2.08,0.5,TRUE,TRUE
5,11,90,2022,28,1946,60,39,2.92,4.5,TRUE,TRUE
5,12,90,1962,23,1953,57,33,1.25,2.1,TRUE,TRUE
5,13,90,1915,23,2000,63,37,1.8,9.9,TRUE,TRUE
5,14,87,2013,27,1912,59,43,1.08,2.5,TRUE,TRUE
5,15,89,1996,29,1923,58,44,1.6700000000000002,3.1,TRUE,TRUE
5,16,93,1996,30,1910,60,37,1.75,5.7,TRUE,TRUE
5,17,91,1964,29,1957,60,40,1.77,7.1,TRUE,TRUE
5,18,93,1996,25,1915,61,42,1.6900000000000002,2.8,TRUE,TRUE
5,19,92,2020,25,1915,62,36,1.56,0.9,TRUE,TRUE
5,20,91,2005,30,1931,60,39,1.41,3,TRUE,TRUE
5,21,91,2006,31,2022,59,39,1.44,3.8,TRUE,TRUE
5,22,93,2012,30,2019,58,47,6.5,NA,TRUE,TRUE
5,23,93,1989,31,2002,58,40,1.5,0,TRUE,TRUE
5,24,87,2005,32,2002,62,48,0.9400000000000001,NA,TRUE,TRUE
5,25,91,2018,31,1950,60,45,1.31,9.3,TRUE,TRUE
5,26,95,1942,32,1950,59,46,1.1500000000000001,1.4,TRUE,TRUE
5,27,93,2006,34,1950,59,46,1.41,0,TRUE,TRUE
5,28,93,1974,32,1947,60,39,1.24,1,TRUE,TRUE
5,29,94,2003,32,1883,66,45,1.33,5.6,TRUE,TRUE
5,30,91,2002,32,1883,60,43,1.6500000000000001,NA,TRUE,TRUE
5,31,93,2002,33,1892,61,44,0.88,NA,TRUE,TRUE
6,1,96,2002,32,1919,61,40,0.8200000000000001,0.4,TRUE,TRUE
6,2,93,2002,30,1951,63,44,1.55,0.3,TRUE,TRUE
6,3,94,2006,34,1954,61,48,1.93,NA,TRUE,TRUE
6,4,94,2012,34,1937,66,47,2.23,NA,TRUE,TRUE
6,5,96,2020,34,1998,65,49,1.21,NA,TRUE,TRUE
6,6,95,2018,34,1998,67,50,1.02,0,TRUE,TRUE
6,7,98,2006,36,1915,68,54,1.02,0,TRUE,TRUE
6,8,98,1985,31,2007,67,49,1.79,NA,TRUE,TRUE
6,9,95,2018,37,1889,62,52,2.18,0,TRUE,TRUE
6,10,99,2013,39,1975,68,52,0.96,0,TRUE,TRUE
6,11,100,2022,34,1947,67,51,3.16,NA,TRUE,TRUE
6,12,97,2024,33,1947,66,43,0.98,NA,TRUE,TRUE
6,13,99,2022,35,1947,64,49,0.6799999999999999,0,TRUE,TRUE
6,14,102,2006,37,1969,66,54,0.97,0,TRUE,TRUE
6,15,101,2021,40,1976,67,50,1.31,0,TRUE,TRUE
6,16,100,2021,40,1961,68,54,2.06,0,TRUE,TRUE
6,17,100,2021,38,1912,68,47,1.1,0,TRUE,TRUE
6,18,100,2012,40,1946,66,53,1.5,0,TRUE,TRUE
6,19,98,1989,37,1976,67,56,0.9500000000000001,0,TRUE,TRUE
6,20,99,2017,39,1973,68,56,1.95,0,TRUE,TRUE
6,21,99,2007,39,2000,66,56,0.8500000000000001,0,TRUE,TRUE
6,22,102,2012,40,1947,69,58,0.69,0,TRUE,TRUE
6,23,104,2012,43,1964,67,52,1.6400000000000001,0,TRUE,TRUE
6,24,102,2012,42,1906,71,57,0.26,0,TRUE,TRUE
6,25,105,2012,42,1958,68,55,1.02,0,TRUE,TRUE
6,26,105,2012,40,1968,71,63,1.37,0,TRUE,TRUE
6,27,102,1990,43,1985,72,56,0.51,0,TRUE,TRUE
6,28,105,2018,48,1999,68,63,0.97,0,TRUE,TRUE
6,29,102,1990,47,2008,70,54,0.9,0,TRUE,TRUE
6,30,102,1990,40,1968,70,61,0.55,0,TRUE,TRUE
7,1,102,1990,46,1995,70,64,1.25,0,TRUE,TRUE
7,2,101,2012,44,1997,69,62,1.34,0,TRUE,TRUE
7,3,101,1874,46,1872,77,54,1.12,0,TRUE,TRUE
7,4,102,1874,42,1903,70,59,1.84,0,TRUE,TRUE
7,5,101,1989,43,1972,71,62,1.04,0,TRUE,TRUE
7,6,103,1973,44,1908,68,58,1.01,0,TRUE,TRUE
7,7,102,1989,43,1952,68,65,1.41,0,TRUE,TRUE
